mode	profile	replicas	concurrency	run_dir	summary_json	experiment_config	evidence_dir
hami	config-aligned	1	1	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170232	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170232/summary.json	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170232/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170232
hami	config-aligned	1	1	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170704	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170704/summary.json	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170704/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170704
hami	config-aligned	1	1	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170847	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170847/summary.json	results/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170847/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c1_20260620-170232/r1_c1_20260620-170847
hami	config-aligned	1	2	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172519	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172519/summary.json	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172519/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172519
hami	config-aligned	1	2	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172919	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172919/summary.json	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172919/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-172919
hami	config-aligned	1	2	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-173102	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-173102/summary.json	results/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-173102/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c2_20260620-172519/r1_c2_20260620-173102
hami	config-aligned	1	4	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-173554	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-173554/summary.json	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-173554/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-173554
hami	config-aligned	1	4	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174015	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174015/summary.json	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174015/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174015
hami	config-aligned	1	4	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174157	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174157/summary.json	results/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174157/experiment_config.json	results/evidence/hami/config-aligned/repeat_r1_c4_20260620-173554/r1_c4_20260620-174157
hami	memory-aligned	1	1	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-120654	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-120654/summary.json	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-120654/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-120654
hami	memory-aligned	1	1	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121041	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121041/summary.json	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121041/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121041
hami	memory-aligned	1	1	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121423	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121423/summary.json	results/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121423/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c1_20260620-120654/r1_c1_20260620-121423
hami	memory-aligned	1	2	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-122850	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-122850/summary.json	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-122850/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-122850
hami	memory-aligned	1	2	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123231	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123231/summary.json	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123231/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123231
hami	memory-aligned	1	2	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123612	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123612/summary.json	results/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123612/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c2_20260620-122850/r1_c2_20260620-123612
hami	memory-aligned	1	4	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130219	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130219/summary.json	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130219/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130219
hami	memory-aligned	1	4	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130611	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130611/summary.json	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130611/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-130611
hami	memory-aligned	1	4	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-131002	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-131002/summary.json	results/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-131002/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r1_c4_20260620-130219/r1_c4_20260620-131002
hami	memory-aligned	2	2	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124446	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124446/summary.json	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124446/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124446
hami	memory-aligned	2	2	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124841	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124841/summary.json	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124841/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-124841
hami	memory-aligned	2	2	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-125223	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-125223/summary.json	results/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-125223/experiment_config.json	results/evidence/hami/memory-aligned/repeat_r2_c2_20260620-124446/r2_c2_20260620-125223
